Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
dvdtmax-vmax-carest-CaTD50,0.75,0.5,0.8125,0.890909091,0.777777778,0.916666667,0.8,0.142857143,0.75,0.636363636,0.75,0.75,2.749995188,1.285713,3.999988,0.244445368,0.918367452,0.30000084,0.666666667,0.25,0.666666667,0.261851606,0.933649289,0.7,5.902331513,20.4118344,-29.21294699,39.71156112,16.9028724,15.60312501
dvdtmax-vmax-carest-CaTD90,0.75,0.4375,0.75,0.890909091,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.714285714,0.75,2.749995188,1.142856,2.999992,0.275000997,0.97959186,0.333334222,0.666666667,0.222222222,0.6,0.280530363,0.928909953,0.7,1.126280067,16.1705784,-30.52890106,42.09522023,28.37531729,31.4719793
dvdtmax-APD50-camax-CaTD90,0.75,0.5,0.8125,0.890909091,0.73015873,0.916666667,0.8,0.142857143,0.75,0.727272727,0.857142857,0.75,2.933326244,1.999993,3.999988,0.275000997,0.857143,0.272728066,0.666666667,0.25,0.727272727,0.297619306,0.90521327,0.7,-2.040960316,2.116717755,10.33787901,-39.43859783,60.26354316,67.89267083
dvdtmax-APD50-carest-CaTD50,0.8125,0.5,0.8125,0.963636364,0.73015873,0.8125,1,0.285714286,0.75,0.727272727,0.833333333,0.75,3.666656889,2.571419143,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.258325863,0.890995261,0.7,-0.505181209,4.321061034,-1.580221405,-0.908000116,12.55869935,8.338790695
dvdtmax-APD90-carest-CaTD90,0.75,0.4375,0.75,0.890909091,0.746031746,0.916666667,0.8,0.142857143,0.75,0.636363636,0.75,0.75,2.749995188,1.000000253,2.999992,0.275000997,1,0.333334222,0.666666667,0.222222222,0.6,0.299286093,0.924170616,0.7,22.371937,34.40950141,-10.84449352,-64.58606278,149.9321264,104.8305243
vmax-APD50-APD90-CaTD90,0.8125,0.4375,0.75,0.927272727,0.761904762,0.895833333,1,0.142857143,0.75,0.727272727,0.8,0.666666667,3.666656889,1,2.999992,1.38E-06,1,0.333334222,0.769230769,0.222222222,0.6,0.305972583,0.933649289,0.7,-1.836055038,10.08383626,19.277615,37.53665206,-20.62442701,6.103160068
vmax-APD50-camax-carest,0.8125,0.4375,0.75,0.927272727,0.746031746,0.895833333,1,0.142857143,0.75,0.727272727,0.8,0.666666667,3.666656889,1,2.999992,1.38E-06,1,0.333334222,0.769230769,0.222222222,0.6,0.311834112,0.928909953,0.7,-3.84202245,7.069882123,23.48306702,21.50472965,4.754329607,-18.12412125
vmax-APD50-camax-CaTD50,0.75,0.4375,0.75,0.909090909,0.761904762,0.895833333,0.8,0.142857143,0.75,0.636363636,0.75,0.75,2.749995188,1.142856,2.999992,0.244445368,0.97959186,0.333334222,0.714285714,0.222222222,0.6,0.277225234,0.933649289,0.7,-5.000979472,6.625121548,26.37579291,42.19729513,-26.32120876,-15.10557718
vmax-APD50-carest-CaTD50,0.8125,0.4375,0.75,0.909090909,0.746031746,0.895833333,0.8,0.142857143,0.75,0.727272727,0.8,0.75,3.666656889,1,2.999992,0.244445368,1,0.333334222,0.727272727,0.222222222,0.6,0.29679347,0.924170616,0.7,-4.906238646,6.452957321,26.45025215,28.81023653,-20.55326644,-5.193496308
vmax-APD90-CaTD50-CaTD90,0.75,0.5,0.8125,0.890909091,0.761904762,0.916666667,0.8,0.285714286,0.75,0.727272727,0.666666667,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143029,0.30000084,0.666666667,0.4,0.666666667,0.244529835,0.933649289,0.7,-8.159988463,2.461831436,31.4548933,19.76059565,-23.69676681,46.75340667
vmax-camax-carest-CaTD50,0.8125,0.4375,0.75,0.909090909,0.698412698,0.895833333,1,0,0.75,0.727272727,0.833333333,0.666666667,3.666656889,1,2.999992,1.38E-06,1,0.333334222,0.769230769,0,0.6,0.330477094,0.90521327,0.7,-1.592515687,5.741092992,14.80656093,31.82562254,-28.90638487,11.78524057
vmax-camax-carest-CaTD90,0.75,0.4375,0.75,0.909090909,0.746031746,0.895833333,0.8,0.142857143,0.75,0.727272727,0.8,0.666666667,2.933326244,1,2.999992,0.275000997,1,0.333334222,0.666666667,0.222222222,0.6,0.294792557,0.928909953,0.7,-2.577152114,8.601339088,27.85428111,24.9289908,-11.29158486,29.76498965
vmax-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.833333333,3.29998735,1.333332556,4.499979,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.247675624,0.933649289,0.7,-37.84138188,-26.25918153,24.0344453,109.3721878,-117.8748253,264.5479647
vrest-APD50-APD90-camax,0.8125,0.5,0.8125,0.927272727,0.825396825,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,4.3999813,2.142854286,4.499979,0.440000616,0.571429,0.272728066,0.666666667,0.6,0.727272727,0.147105086,0.947867299,0.7,5.537644466,43.22203556,97.13759324,136.560881,-67.01955375,-46.78983624
