Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-vmax-vrest-APD90,0.8125,0.4375,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570357,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.545454545,0.6,0.220383809,0.928909953,0.733333333,-13.0814621,13.98491082,-15.83074838,0.000112516,12.01730984,20.51757711
qNet-vmax-vrest-camax,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.833333528,0.333334222,0.727272727,0.5,0.6,0.234360891,0.91943128,0.733333333,-13.27129478,13.9998154,-30.89315929,-4.107129797,1.628060251,5.530858128
qNet-vmax-vrest-carest,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.80000028,0.333334222,0.727272727,0.5,0.6,0.231810894,0.91943128,0.733333333,-12.17372168,13.97971688,-29.63504272,-5.479262003,1.264533292,4.287648565
qNet-vmax-APD50-APD90,0.8125,0.5,0.8125,0.945454545,0.746031746,0.895833333,0.8,0.428571429,0.75,0.818181818,0.6,0.75,5.49997525,1.714282857,3.999988,0.244445368,0.714286071,0.30000084,0.727272727,0.545454545,0.666666667,0.217204321,0.933649289,0.733333333,-10.47739038,10.36311899,-20.93063452,8.089896488,-70.86687,83.55182721
qNet-vmax-APD50-camax,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.23650076,0.924170616,0.733333333,-14.71023148,13.69478902,-28.31572401,-0.25859528,3.341353293,6.832365896
qNet-vmax-APD50-carest,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143029,0.333334222,0.727272727,0.5,0.6,0.233478905,0.91943128,0.733333333,-13.5830631,13.90122708,-26.0904432,-1.351949586,4.673772536,5.223385225
qNet-vmax-APD50-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.245561933,0.91943128,0.733333333,-16.56462516,13.53646246,-33.93996315,-1.069274522,11.77551281,-8.063913595
qNet-vmax-APD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.6,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143029,0.333334222,0.727272727,0.5,0.6,0.235304159,0.91943128,0.733333333,-13.38212172,13.46754895,-25.50661348,0.247450958,14.30997215,-8.679114697
qNet-vmax-APD90-camax,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143029,0.333334222,0.727272727,0.5,0.6,0.235462315,0.924170616,0.733333333,-15.50816591,13.39627643,-25.81938987,2.391402317,7.219194927,6.983924752
qNet-vmax-APD90-carest,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.833333528,0.333334222,0.727272727,0.5,0.6,0.232188566,0.924170616,0.733333333,-14.02795117,13.74299586,-24.6946541,0.418597126,7.132452896,5.240963464
qNet-vmax-APD90-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.833333528,0.333334222,0.727272727,0.545454545,0.6,0.241598831,0.924170616,0.733333333,-18.28811892,12.48277157,-29.73195499,3.516326019,19.60466245,-8.542930387
