Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.428570357,2.999992,0.4000006,0.750000437,0.333334222,0.727272727,0.545454545,0.6,0.241819866,0.928909953,0.733333333,-37.80783041,-13.98162619,-3.072330897,10.99208333,-45.69412975,49.06562165,-24.79841954,125.3350774
dvdtmax-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.822916667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.250645176,0.91943128,0.733333333,-40.40089607,-19.85186533,-10.3132963,-59.55571773,-9.07765059,62.93796045,-48.80826433,170.2086004
dvdtmax-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.248709099,0.924170616,0.733333333,-27.03623574,-3.33366078,-16.39974794,-38.28119418,-31.05249924,68.62994775,-18.89525301,105.4316362
vmax-vrest-APD50-APD90-camax-CaTD50,0.8125,0.4375,0.75,0.945454545,0.73015873,0.875,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.428570357,2.999992,0.4000006,0.750000437,0.333334222,0.727272727,0.545454545,0.6,0.229232457,0.928909953,0.733333333,-18.00148215,11.59691882,2.690002683,27.29259362,102.7868939,-28.54966568,-25.08725312,-19.72292861
vmax-vrest-APD50-APD90-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.428570357,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.545454545,0.6,0.223437812,0.928909953,0.733333333,-12.60247091,14.50123368,-0.469663708,26.08374782,58.00020056,-22.58474587,-3.921933232,2.683956115
vrest-APD50-APD90-camax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.251104264,0.924170616,0.733333333,-17.28467395,13.4441334,35.45956964,111.5282764,-45.3997208,-6.625560038,-13.27282699,-13.30542644
vrest-APD50-camax-carest-CaTD50-CaTD90,0.875,0.5,0.8125,0.945454545,0.746031746,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,8.799914201,1.428570571,4.499979,0.4000006,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.242039291,0.933649289,0.733333333,-24.85298568,6.86986995,31.76459867,5.222782536,19.02145285,2.114267256,-13.52709271,65.66560121
APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.545454545,0.6,0.244286563,0.91943128,0.733333333,-26.99714982,-3.763591694,-25.42733786,27.4341464,-47.22777965,50.49285702,-9.424811668,105.6432294
APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.80000028,0.333334222,0.727272727,0.5,0.6,0.246269158,0.91943128,0.733333333,-32.46579193,-9.626276001,9.309756527,-34.3914888,-20.32642585,57.82876311,-32.88809924,120.5445715
APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.545454545,0.6,0.242618429,0.91943128,0.733333333,-20.80129905,1.9774459,58.80400499,-59.84498493,-39.12758031,58.87659128,-13.46913015,67.99619577
